Gair,5.0,N/A
Yakiniku Futago Soho,5.0,N/A
Gurumé,4.8,N/A
Bar 56,4.8,N/A
Alessa Cucina & Bar,4.7,N/A
Los Tacos No.1,4.7,$$
Little Maven,4.7,N/A
Capoeira Restaurant,4.7,N/A
Antidote,4.6,$$
Forma Pasta Factory,4.6,$$
Zhego NYC,4.6,N/A
Mikado,4.6,N/A
Olio e Più,4.5,$$
Soothr,4.5,$$
Don Angie,4.5,$$$
Mama Lee - Williamsburg,4.5,N/A
Nubiani,4.5,N/A
The Little Pig,4.5,N/A
Bee's Knees & Honey Lounge,4.5,N/A
Dutch Freds,4.5,$$
Kimura,4.5,$$$
Lula Mae,4.5,N/A
Juliana's,4.4,$$
LoveMama,4.4,$$
Cafe Mogador,4.4,$$$
Thursday Kitchen,4.4,$$
ARIARI,4.4,N/A
Thai Villa,4.4,$$
Very Fresh Noodles,4.4,$$
Izakaya Fuku,4.4,$$
Laser Wolf,4.4,$$$$
The Mayfly,4.4,N/A
Al Badawi,4.4,$$
Chama Mama - Brooklyn Heights,4.4,N/A
Jacob's Pickles Time Out Market,4.4,$$
Piccola Cucina Uptown,4.4,$$$
Gramercy Tavern,4.4,$$$$
Fishmarket Restaurant,4.3,$$
Gulp,4.3,N/A
Hav & Mar,4.3,$$$
Rice Thief,4.3,N/A
Popina,4.3,$$
Zou Zou’s,4.2,$$$
Alligator Pear,4.2,N/A
The Cabin NYC,4.1,$$
Red Hook Tavern,4.1,$$$
Hometown Bar-B-Que,4.0,$$
Noodle Pudding,4.0,$$
Joe's Shanghai,3.8,$$
