Room 15, 107 minute average visit, 6 visitor(s) total
Room 21, 70 minute average visit, 6 visitor(s) total
Room 4, 40 minute average visit, 5 visitor(s) total
Room 9, 84 minute average visit, 5 visitor(s) total
Room 25, 70 minute average visit, 5 visitor(s) total
Room 32, 62 minute average visit, 4 visitor(s) total
Room 28, 82 minute average visit, 4 visitor(s) total
Room 1, 36 minute average visit, 4 visitor(s) total
Room 30, 62 minute average visit, 4 visitor(s) total
Room 8, 67 minute average visit, 4 visitor(s) total
Room 3, 79 minute average visit, 4 visitor(s) total
Room 12, 46 minute average visit, 3 visitor(s) total
Room 35, 69 minute average visit, 3 visitor(s) total
Room 31, 90 minute average visit, 3 visitor(s) total
Room 37, 66 minute average visit, 3 visitor(s) total
Room 16, 103 minute average visit, 3 visitor(s) total
Room 38, 46 minute average visit, 3 visitor(s) total
Room 29, 80 minute average visit, 3 visitor(s) total
Room 23, 38 minute average visit, 3 visitor(s) total
Room 20, 98 minute average visit, 2 visitor(s) total
Room 34, 38 minute average visit, 2 visitor(s) total
Room 22, 34 minute average visit, 2 visitor(s) total
Room 19, 38 minute average visit, 2 visitor(s) total
Room 14, 102 minute average visit, 2 visitor(s) total
Room 6, 50 minute average visit, 2 visitor(s) total
Room 7, 34 minute average visit, 2 visitor(s) total
Room 5, 53 minute average visit, 1 visitor(s) total
Room 13, 121 minute average visit, 1 visitor(s) total
Room 11, 111 minute average visit, 1 visitor(s) total
Room 26, 21 minute average visit, 1 visitor(s) total
Room 17, 112 minute average visit, 1 visitor(s) total
Room 10, 43 minute average visit, 1 visitor(s) total
Room 2, 38 minute average visit, 1 visitor(s) total
